utc_ts,utc_dt,spot_usd_price,instrument_name,quote_currency,base_currency,volume,open_interest,type,strike,underlying_price,expiry,time_to_expiry,low,high,last,bid_price,ask_price,mid_price,mark_price,usd_bid,usd_ask,usd_mid,usd_mark,iv_bid,iv_ask,iv_mid,iv_mark,apy_bid,apy_ask,apy_mid,apy_mark,premium
1665515709,2022-10-12 03:15:09,19074.75,BTC-12OCT22-15000-C,BTC,BTC,0.0,0.0,c,15000,19073.527651767086,2022-10-12 08:00:00,0.0005418833227647432,,,,,,,0.2135697,,,,4073.788635075,,,,3.2517002533981016,,,,394.1248808144638,
1665515709,2022-10-12 03:15:09,19074.75,BTC-12OCT22-16000-C,BTC,BTC,0.0,0.0,c,16000,19073.527651767086,2022-10-12 08:00:00,0.0005418833227647432,,,,,,,0.16114102,,,,3073.724671245,,,,2.3780333731850396,,,,297.3721707799427,
1665515709,2022-10-12 03:15:09,19074.75,BTC-12OCT22-17000-C,BTC,BTC,0.0,0.0,c,17000,19073.527651767086,2022-10-12 08:00:00,0.0005418833227647432,,,,,,,0.10871233,,,,2073.6605166675,,,,1.5573991136200926,,,,200.61944229126442,
1665515709,2022-10-12 03:15:09,19074.75,BTC-12OCT22-18000-C,BTC,BTC,1.0,101.3,c,18000,19073.527651767086,2022-10-12 08:00:00,0.0005418833227647432,0.0545,0.0545,0.0545,0.0005,0.08,0.04025,0.05628612,9.537375,1525.98,767.7586875000001,1073.64366747,,5.162277202195515,,0.81798245216199,0.922707857936926,147.63325726990814,74.27798256392255,103.87129043356154,9.537375
1665515709,2022-10-12 03:15:09,19074.75,BTC-12OCT22-18250-C,BTC,BTC,0.0,0.0,c,18250,19073.527651767086,2022-10-12 08:00:00,0.0005418833227647432,,,,,,,0.04320798,,,,824.181416505,,,,0.7575719039520712,,,,79.73668534316307,
1665515709,2022-10-12 03:15:09,19074.75,BTC-12OCT22-18500-C,BTC,BTC,101.2,53.7,c,18500,19073.527651767086,2022-10-12 08:00:00,0.0005418833227647432,0.03,0.033,0.0305,0.0265,0.034,0.03025,0.03022178,505.48087499999997,648.5415,577.0111875,576.472898055,,1.549745231152602,0.695340716541027,0.6761239441671569,48.903516470657074,62.74413433971097,55.82382540518402,55.77174777368206,505.48087499999997
1665515709,2022-10-12 03:15:09,19074.75,BTC-12OCT22-18750-C,BTC,BTC,6.3,6.3,c,18750,19073.527651767086,2022-10-12 08:00:00,0.0005418833227647432,0.0167,0.023,0.0167,,,,0.0174478,,,,332.81242305,,,,0.5369796932344415,,,,32.19844432742379,
1665515709,2022-10-12 03:15:09,19074.75,BTC-12OCT22-19000-C,BTC,BTC,307.2,218.2,c,19000,19073.527651767086,2022-10-12 08:00:00,0.0005418833227647432,0.0055,0.0185,0.006,0.0055,0.0075,0.0065,0.0062641,104.911125,143.060625,123.985875,119.486141475,0.3464875585054643,0.5775982712550765,0.46401677966703975,0.4367751582795384,10.149786437306185,13.840617869053888,11.995202153180037,11.559868585805395,104.911125
1665515709,2022-10-12 03:15:09,19074.75,BTC-12OCT22-19250-C,BTC,BTC,221.8,170.1,c,19250,19073.527651767086,2022-10-12 08:00:00,0.0005418833227647432,0.0005,0.0095,0.001,0.0005,0.0015,0.001,0.00085355,9.537375,28.612125,19.07475,16.2812528625,0.3441084295225824,0.5105976332259083,0.4343620048028399,0.41000264417133586,0.922707857936926,2.7681235738107777,1.845415715873852,1.5751545842841264,9.537375
1665515709,2022-10-12 03:15:09,19074.75,BTC-12OCT22-19500-C,BTC,BTC,226.3,345.6,c,19500,19073.527651767086,2022-10-12 08:00:00,0.0005418833227647432,0.0005,0.0045,0.001,,0.0005,,0.0001481,,9.537375,,2.8249704749999998,,0.6533176265642333,,0.5111839627555207,,0.922707857936926,,0.27330606752091746,
